"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
6.2,0.45,0.2,1.6,0.069,15,0.9958,3.41,0.56,9.2,"Average"
7.4,0.5,0.47,2,0.086,73,0.997,3.36,0.57,9.1,"Average"
6.3,0.3,0.48,1.8,0.069,61,0.9959,3.44,0.78,10.3,"Good"
6.9,0.55,0.15,2.2,0.076,40,0.9961,3.41,0.59,10.1,"Average"
7.7,0.49,0.26,1.9,0.062,31,0.9966,3.39,0.64,9.6,"Average"
7,0.62,0.08,1.8,0.076,24,0.9978,3.48,0.53,9,"Average"
7.7,0.49,0.26,1.9,0.062,31,0.9966,3.39,0.64,9.6,"Average"
6.8,0.775,0,3,0.102,23,0.9965,3.45,0.56,10.7,"Average"
7.6,0.9,0.06,2.5,0.079,10,0.9967,3.39,0.56,9.8,"Average"
8.1,0.545,0.18,1.9,0.08,35,0.9972,3.3,0.59,9,"Good"
8.3,0.61,0.3,2.1,0.084,50,0.9972,3.4,0.61,10.2,"Good"
8.1,0.545,0.18,1.9,0.08,35,0.9972,3.3,0.59,9,"Good"
8.1,0.575,0.22,2.1,0.077,65,0.9967,3.29,0.51,9.2,"Average"
7.2,0.49,0.24,2.2,0.07,36,0.996,3.33,0.48,9.4,"Average"
8.1,0.575,0.22,2.1,0.077,65,0.9967,3.29,0.51,9.2,"Average"
6.2,0.63,0.31,1.7,0.088,64,0.9969,3.46,0.79,9.3,"Average"
8.4,0.62,0.09,2.2,0.084,108,0.9964,3.15,0.66,9.8,"Average"
10.1,0.31,0.44,2.3,0.08,46,0.9988,3.32,0.67,9.7,"Good"
9.4,0.4,0.31,2.2,0.09,62,0.9966,3.07,0.63,10.5,"Good"
8.3,0.54,0.28,1.9,0.077,40,0.9978,3.39,0.61,10,"Good"
7.3,0.695,0,2.5,0.075,13,0.998,3.49,0.52,9.2,"Average"
7.8,0.5,0.17,1.6,0.082,102,0.996,3.39,0.48,9.5,"Average"
8,0.59,0.16,1.8,0.065,16,0.9962,3.42,0.92,10.5,"Good"
5.6,0.5,0.09,2.3,0.049,99,0.9937,3.63,0.63,13,"Average"
8.4,0.745,0.11,1.9,0.09,63,0.9965,3.19,0.82,9.6,"Average"
7.2,0.415,0.36,2,0.081,45,0.9972,3.48,0.64,9.2,"Average"
8.4,0.745,0.11,1.9,0.09,63,0.9965,3.19,0.82,9.6,"Average"
6.3,0.39,0.08,1.7,0.066,20,0.9954,3.34,0.58,9.4,"Average"
5.8,0.68,0.02,1.8,0.087,94,0.9944,3.54,0.52,10,"Average"
6.9,0.49,0.1,2.3,0.074,30,0.9959,3.42,0.58,10.2,"Good"
7.3,0.33,0.47,2.1,0.077,11,0.9958,3.33,0.53,10.3,"Good"
7.5,0.6,0.03,1.8,0.095,99,0.995,3.35,0.54,10.1,"Average"
7.5,0.6,0.03,1.8,0.095,99,0.995,3.35,0.54,10.1,"Average"
7.1,0.68,0,2.2,0.073,22,0.9969,3.48,0.5,9.3,"Average"
6.8,0.6,0.18,1.9,0.079,86,0.9968,3.59,0.57,9.3,"Good"
7.6,0.95,0.03,2,0.09,20,0.9959,3.2,0.56,9.6,"Average"
7.8,0.53,0.04,1.7,0.076,31,0.9964,3.33,0.56,10,"Good"
7.8,0.63,0.48,1.7,0.1,96,0.9961,3.19,0.62,9.5,"Average"
6.8,0.64,0.1,2.1,0.085,101,0.9956,3.34,0.52,10.2,"Average"
7.3,0.55,0.03,1.6,0.072,42,0.9956,3.37,0.48,9,"Bad"
6.8,0.63,0.07,2.1,0.089,44,0.9953,3.47,0.55,10.4,"Good"
7.9,0.885,0.03,1.8,0.058,8,0.9972,3.36,0.33,9.1,"Bad"
8,0.42,0.17,2,0.073,18,0.9972,3.29,0.61,9.2,"Good"
7.4,0.62,0.05,1.9,0.068,42,0.9961,3.42,0.57,11.5,"Good"
6.9,0.5,0.04,1.5,0.085,49,0.9958,3.35,0.78,9.5,"Average"
7.3,0.38,0.21,2,0.08,35,0.9961,3.33,0.47,9.5,"Average"
7.5,0.52,0.42,2.3,0.087,38,0.9972,3.58,0.61,10.5,"Good"
7,0.805,0,2.5,0.068,20,0.9969,3.48,0.56,9.6,"Average"
8.8,0.61,0.14,2.4,0.067,42,0.9969,3.19,0.59,9.5,"Average"
8.8,0.61,0.14,2.4,0.067,42,0.9969,3.19,0.59,9.5,"Average"
7.2,0.73,0.02,2.5,0.076,42,0.9972,3.44,0.52,9.3,"Average"
6.8,0.61,0.2,1.8,0.077,65,0.9971,3.54,0.58,9.3,"Average"
6.7,0.62,0.21,1.9,0.079,62,0.997,3.52,0.58,9.3,"Good"
8.9,0.31,0.57,2,0.111,85,0.9971,3.26,0.53,9.7,"Average"
7.4,0.39,0.48,2,0.082,67,0.9972,3.34,0.55,9.2,"Average"
6.4,0.37,0.25,1.9,0.074,49,0.9974,3.57,0.62,9.8,"Good"
7.6,0.55,0.21,2.2,0.071,28,0.9964,3.28,0.55,9.7,"Average"
7.6,0.55,0.21,2.2,0.071,28,0.9964,3.28,0.55,9.7,"Average"
7.3,0.58,0.3,2.4,0.074,55,0.9968,3.46,0.59,10.2,"Average"
9.6,0.32,0.47,1.4,0.056,24,0.99695,3.22,0.82,10.3,"Good"
7,0.43,0.36,1.6,0.089,37,0.99615,3.34,0.56,9.2,"Good"
7.8,0.44,0.28,2.7,0.1,95,0.9966,3.22,0.67,9.4,"Average"
8,0.725,0.24,2.8,0.083,62,0.99685,3.35,0.56,10,"Good"
8.2,0.57,0.26,2.2,0.06,65,0.9959,3.3,0.43,10.1,"Average"
7.8,0.735,0.08,2.4,0.092,41,0.9974,3.24,0.71,9.8,"Good"
8.7,0.625,0.16,2,0.101,49,0.9962,3.14,0.57,11,"Average"
8.1,0.725,0.22,2.2,0.072,41,0.9967,3.36,0.55,9.1,"Average"
7.5,0.49,0.19,1.9,0.076,44,0.9957,3.39,0.54,9.7,"Average"
7.8,0.34,0.37,2,0.082,58,0.9964,3.34,0.59,9.4,"Good"
7.4,0.53,0.26,2,0.101,72,0.9957,3.15,0.57,9.4,"Average"
6.8,0.61,0.04,1.5,0.057,10,0.99525,3.42,0.6,9.5,"Average"
8.6,0.645,0.25,2,0.083,28,0.99815,3.28,0.6,10,"Good"
7.7,0.43,0.25,2.6,0.073,63,0.99615,3.37,0.58,10.5,"Good"
5.2,0.48,0.04,1.6,0.054,106,0.9927,3.54,0.62,12.2,"Good"
8,0.38,0.06,1.8,0.078,49,0.99625,3.37,0.52,9.9,"Good"
8.5,0.37,0.2,2.8,0.09,58,0.998,3.34,0.7,9.6,"Good"
8.2,1,0.09,2.3,0.065,37,0.99685,3.32,0.55,9,"Good"
7.2,0.63,0,1.9,0.097,38,0.99675,3.37,0.58,9,"Good"
12,0.38,0.56,2.1,0.093,24,0.99925,3.14,0.71,10.9,"Good"
7.7,0.58,0.1,1.8,0.102,109,0.99565,3.08,0.49,9.8,"Good"
7.1,0.68,0.07,1.9,0.075,51,0.99685,3.38,0.52,9.5,"Average"
10.8,0.32,0.44,1.6,0.063,37,0.9985,3.22,0.78,10,"Good"
7.1,0.6,0,1.8,0.074,34,0.9972,3.47,0.7,9.9,"Good"
11.1,0.35,0.48,3.1,0.09,21,0.9986,3.17,0.53,10.5,"Average"
7.7,0.775,0.42,1.9,0.092,86,0.9959,3.23,0.59,9.5,"Average"
9.4,0.34,0.37,2.2,0.075,13,0.998,3.22,0.62,9.2,"Average"
6.6,0.695,0,2.1,0.075,56,0.9968,3.49,0.67,9.2,"Average"
10,0.31,0.47,2.6,0.085,33,0.99965,3.36,0.8,10.5,"Good"
7.9,0.33,0.23,1.7,0.077,45,0.99625,3.29,0.65,9.3,"Average"
7,0.975,0.04,2,0.087,67,0.99565,3.35,0.6,9.4,"Bad"
8,0.52,0.03,1.7,0.07,35,0.99575,3.34,0.57,10,"Average"
7.9,0.37,0.23,1.8,0.077,49,0.9963,3.28,0.67,9.3,"Average"
8.1,0.87,0,3.3,0.096,61,1.00025,3.6,0.72,9.8,"Bad"
11.4,0.26,0.44,3.6,0.071,19,0.9986,3.12,0.82,9.3,"Good"
9.9,0.59,0.07,3.4,0.102,71,1.00015,3.31,0.71,9.8,"Average"
9.9,0.59,0.07,3.4,0.102,71,1.00015,3.31,0.71,9.8,"Average"
12,0.45,0.55,2,0.073,49,0.9997,3.1,0.76,10.3,"Good"
7.5,0.4,0.12,3,0.092,53,0.9967,3.37,0.7,10.3,"Good"
8.7,0.52,0.09,2.5,0.091,49,0.9976,3.34,0.86,10.6,"Good"
8.7,0.52,0.09,2.5,0.091,49,0.9976,3.34,0.86,10.6,"Good"
10.4,0.55,0.23,2.7,0.091,48,0.9994,3.22,0.64,10.3,"Good"
6.9,0.36,0.25,2.4,0.098,16,0.9964,3.41,0.6,10.1,"Good"
10.8,0.5,0.46,2.5,0.073,27,1.0001,3.05,0.64,9.5,"Average"
10.6,0.83,0.37,2.6,0.086,70,0.9981,3.16,0.52,9.9,"Average"
7.1,0.63,0.06,2,0.083,29,0.99855,3.67,0.73,9.6,"Average"
7.2,0.65,0.02,2.3,0.094,31,0.9993,3.67,0.8,9.7,"Average"
7.5,0.53,0.06,2.6,0.086,44,0.9965,3.38,0.59,10.7,"Good"
11.1,0.18,0.48,1.5,0.068,15,0.9973,3.22,0.64,10.1,"Good"
8.3,0.705,0.12,2.6,0.092,28,0.9994,3.51,0.72,10,"Average"
8.4,0.65,0.6,2.1,0.112,90,0.9973,3.2,0.52,9.2,"Average"
7.6,0.62,0.32,2.2,0.082,54,0.9966,3.36,0.52,9.4,"Average"
7.9,0.53,0.24,2,0.072,105,0.996,3.27,0.54,9.4,"Good"
9,0.46,0.31,2.8,0.093,98,0.99815,3.32,0.63,9.5,"Good"
7.4,0.36,0.29,2.6,0.087,72,0.99645,3.39,0.68,11,"Average"
9.8,0.66,0.39,3.2,0.083,59,0.9989,3.37,0.71,11.5,"Good"
9.6,0.77,0.12,2.9,0.082,74,0.99865,3.3,0.64,10.4,"Good"
9.3,0.61,0.26,3.4,0.09,87,0.99975,3.24,0.62,9.7,"Average"
8.4,0.56,0.08,2.1,0.105,44,0.9958,3.13,0.52,11,"Average"
7.9,0.65,0.01,2.5,0.078,38,0.9963,3.34,0.74,11.7,"Good"
8.9,0.43,0.45,1.9,0.052,16,0.9948,3.35,0.7,12.5,"Good"
7.8,0.43,0.32,2.8,0.08,58,0.9974,3.31,0.64,10.3,"Average"
9.6,0.56,0.31,2.8,0.089,46,0.9979,3.11,0.92,10,"Good"
9.1,0.795,0,2.6,0.096,26,0.9994,3.35,0.83,9.4,"Good"
7.7,0.665,0,2.4,0.09,19,0.9974,3.27,0.73,9.3,"Average"
6.7,0.75,0.01,2.4,0.078,32,0.9955,3.55,0.61,12.8,"Good"
11.5,0.41,0.52,3,0.08,55,1.0001,3.26,0.88,11,"Average"
10.5,0.42,0.66,2.95,0.116,29,0.997,3.24,0.75,11.7,"Good"
11.9,0.43,0.66,3.1,0.109,23,1,3.15,0.85,10.4,"Good"
8.2,0.7,0.23,2,0.099,81,0.9973,3.19,0.7,9.4,"Average"
8.6,0.45,0.31,2.6,0.086,50,0.9982,3.37,0.91,9.9,"Good"
11.9,0.58,0.66,2.5,0.072,37,0.9992,3.05,0.56,10,"Average"
10.4,0.575,0.61,2.6,0.076,24,1,3.16,0.69,9,"Average"
7.9,0.24,0.4,1.6,0.056,25,0.9967,3.32,0.87,8.7,"Good"
8.3,0.26,0.42,2,0.08,27,0.9974,3.21,0.8,9.4,"Good"
7.7,0.51,0.28,2.1,0.087,54,0.998,3.42,0.74,9.2,"Average"
7.8,0.46,0.26,1.9,0.088,53,0.9981,3.43,0.74,9.2,"Good"
9.5,0.37,0.52,2,0.082,26,0.998,3.18,0.51,9.5,"Average"
11.5,0.59,0.59,2.6,0.087,49,0.9988,3.18,0.65,11,"Good"
8.7,0.765,0.22,2.3,0.064,42,0.9963,3.1,0.55,9.4,"Average"
11.4,0.6,0.49,2.7,0.085,41,0.9994,3.15,0.63,10.5,"Good"
7.7,0.69,0.05,2.7,0.075,27,0.9974,3.26,0.61,9.1,"Average"
9.8,0.44,0.47,2.5,0.063,28,0.9981,3.24,0.65,10.8,"Good"
12,0.39,0.66,3,0.093,30,0.9996,3.18,0.63,10.8,"Good"
9,0.43,0.34,2.5,0.08,86,0.9987,3.38,0.62,9.5,"Good"
7.1,0.735,0.16,1.9,0.1,77,0.9966,3.27,0.64,9.3,"Average"
10.6,0.48,0.64,2.2,0.111,20,0.997,3.26,0.66,11.7,"Good"
6.8,0.77,0,1.8,0.066,52,0.9976,3.62,0.68,9.9,"Average"
6.6,0.84,0.03,2.3,0.059,48,0.9952,3.52,0.56,12.3,"Good"
7.7,0.96,0.2,2,0.047,60,0.9955,3.36,0.44,10.9,"Average"
10.5,0.24,0.47,2.1,0.066,24,0.9978,3.15,0.9,11,"Good"
6.6,0.84,0.03,2.3,0.059,48,0.9952,3.52,0.56,12.3,"Good"
6.4,0.67,0.08,2.1,0.045,48,0.9949,3.49,0.49,11.4,"Good"
9.5,0.78,0.22,1.9,0.077,32,0.9988,3.26,0.56,10.6,"Good"
9.1,0.52,0.33,1.3,0.07,30,0.9978,3.24,0.6,9.3,"Average"
10.5,0.24,0.47,2.1,0.066,24,0.9978,3.15,0.9,11,"Good"
7.8,0.55,0.35,2.2,0.074,66,0.9974,3.25,0.56,9.2,"Average"
10.4,0.41,0.55,3.2,0.076,54,0.9996,3.15,0.89,9.9,"Good"
8,0.67,0.3,2,0.06,62,0.9958,3.26,0.56,10.2,"Good"
11.1,0.45,0.73,3.2,0.066,22,0.9986,3.17,0.66,11.2,"Good"
7,0.62,0.18,1.5,0.062,50,0.9951,3.08,0.6,9.3,"Average"
5.3,0.57,0.01,1.7,0.054,27,0.9934,3.57,0.84,12.5,"Good"
8.6,0.53,0.22,2,0.1,27,0.9967,3.2,0.56,10.2,"Good"
11.9,0.39,0.69,2.8,0.095,35,0.9994,3.1,0.61,10.8,"Good"
11.9,0.39,0.69,2.8,0.095,35,0.9994,3.1,0.61,10.8,"Good"
6.8,0.56,0.03,1.7,0.084,35,0.9968,3.44,0.63,10,"Good"
10.4,0.33,0.63,2.8,0.084,22,0.9998,3.26,0.74,11.2,"Good"
7,0.23,0.4,1.6,0.063,67,0.9952,3.5,0.63,11.1,"Average"
8.9,0.59,0.39,2.3,0.095,22,0.9986,3.37,0.58,10.3,"Average"
9.2,0.63,0.21,2.7,0.097,65,0.9988,3.28,0.58,9.6,"Average"
9.2,0.43,0.52,2.3,0.083,23,0.9976,3.35,0.61,11.3,"Good"
8.3,0.615,0.22,2.6,0.087,19,0.9982,3.26,0.61,9.3,"Average"
11.5,0.315,0.54,2.1,0.084,15,0.9987,2.98,0.7,9.2,"Good"
10.3,0.5,0.42,2,0.069,51,0.9982,3.16,0.72,11.5,"Good"
11.4,0.36,0.69,2.1,0.09,21,1,3.17,0.62,9.2,"Good"
8.7,0.82,0.02,1.2,0.07,48,0.9952,3.2,0.58,9.8,"Average"
9.6,0.54,0.42,2.4,0.081,52,0.997,3.2,0.71,11.4,"Good"
9.6,0.68,0.24,2.2,0.087,28,0.9988,3.14,0.6,10.2,"Average"
9.3,0.27,0.41,2,0.091,16,0.998,3.28,0.7,9.7,"Average"
9.4,0.685,0.11,2.7,0.077,31,0.9984,3.19,0.7,10.1,"Good"
10.2,0.67,0.39,1.9,0.054,17,0.9976,3.17,0.47,10,"Average"
10.2,0.645,0.36,1.8,0.053,14,0.9982,3.17,0.42,10,"Good"
9.3,0.39,0.4,2.6,0.073,26,0.9984,3.34,0.75,10.2,"Good"
8.7,0.69,0.31,3,0.086,81,1.0002,3.48,0.74,11.6,"Good"
7.8,0.52,0.25,1.9,0.081,38,0.9984,3.43,0.65,9,"Good"
7.2,0.34,0.32,2.5,0.09,113,0.9966,3.32,0.79,11.1,"Average"
8.7,0.69,0.31,3,0.086,81,1.0002,3.48,0.74,11.6,"Good"
7.8,0.52,0.25,1.9,0.081,38,0.9984,3.43,0.65,9,"Good"
10.2,0.49,0.63,2.9,0.072,26,0.9968,3.16,0.78,12.5,"Good"
11.2,0.67,0.55,2.3,0.084,13,1,3.17,0.71,9.5,"Good"
10,0.59,0.31,2.2,0.09,62,0.9994,3.18,0.63,10.2,"Good"
10.5,0.51,0.64,2.4,0.107,15,0.9973,3.09,0.66,11.8,"Good"
10.5,0.51,0.64,2.4,0.107,15,0.9973,3.09,0.66,11.8,"Good"
9.8,0.25,0.49,2.7,0.088,33,0.9982,3.42,0.9,10,"Good"
9.2,0.43,0.49,2.4,0.086,116,0.9976,3.23,0.64,9.5,"Average"
7,0.38,0.49,2.5,0.097,85,0.9962,3.39,0.77,11.4,"Good"
9.9,0.63,0.24,2.4,0.077,33,0.9974,3.09,0.57,9.4,"Average"
9.1,0.22,0.24,2.1,0.078,28,0.999,3.41,0.87,10.3,"Good"
11.9,0.38,0.49,2.7,0.098,42,1.0004,3.16,0.61,10.3,"Average"
11.9,0.38,0.49,2.7,0.098,42,1.0004,3.16,0.61,10.3,"Average"
10.3,0.27,0.24,2.1,0.072,33,0.9956,3.22,0.66,12.8,"Good"
10,0.48,0.24,2.7,0.102,32,1,3.28,0.56,10,"Good"
9.1,0.22,0.24,2.1,0.078,28,0.999,3.41,0.87,10.3,"Good"
9.9,0.63,0.24,2.4,0.077,33,0.9974,3.09,0.57,9.4,"Average"
8.1,0.825,0.24,2.1,0.084,13,0.9972,3.37,0.77,10.7,"Good"
9.2,0.59,0.24,3.3,0.101,47,0.9988,3.26,0.67,9.6,"Average"
9.3,0.715,0.24,2.1,0.07,20,0.9966,3.12,0.59,9.9,"Average"
11.2,0.66,0.24,2.5,0.085,53,0.9993,3.06,0.72,11,"Good"
9.1,0.47,0.49,2.6,0.094,106,0.9982,3.08,0.59,9.1,"Average"
7.5,0.55,0.24,2,0.078,28,0.9983,3.45,0.78,9.5,"Good"
10.6,0.31,0.49,2.5,0.067,21,0.9987,3.26,0.86,10.7,"Good"
6.8,0.51,0.01,2.1,0.074,25,0.9958,3.33,0.56,9.5,"Good"
9.4,0.43,0.24,2.8,0.092,45,0.998,3.19,0.73,10,"Good"
9.5,0.46,0.24,2.7,0.092,44,0.998,3.12,0.74,10,"Good"
9,0.54,0.49,2.9,0.094,110,0.9982,3.08,0.61,9.2,"Average"
7.6,0.29,0.49,2.7,0.092,60,0.9971,3.31,0.61,10.1,"Good"
6.2,0.36,0.24,2.2,0.095,42,0.9946,3.57,0.57,11.7,"Good"
11.5,0.35,0.49,3.3,0.07,37,1.0003,3.32,0.91,11,"Good"
10.2,0.24,0.49,2.4,0.075,28,0.9978,3.14,0.61,10.4,"Average"
9.9,0.5,0.24,2.3,0.103,14,0.9978,3.34,0.52,10,"Bad"
8.8,0.44,0.49,2.8,0.083,111,0.9982,3.3,0.6,9.5,"Average"
8.8,0.47,0.49,2.9,0.085,110,0.9982,3.29,0.6,9.8,"Average"
10.6,0.31,0.49,2.2,0.063,40,0.9976,3.14,0.51,9.8,"Good"
12,0.28,0.49,1.9,0.074,21,0.9976,2.98,0.66,9.9,"Good"
7.3,0.73,0.24,1.9,0.108,102,0.9967,3.26,0.59,9.3,"Average"
9,0.45,0.49,2.6,0.084,75,0.9987,3.35,0.57,9.7,"Average"
9,0.45,0.49,2.6,0.084,75,0.9987,3.35,0.57,9.7,"Average"
9.9,0.49,0.58,3.5,0.094,43,1.0004,3.29,0.58,9,"Average"
8.5,0.585,0.18,2.1,0.078,30,0.9967,3.2,0.48,9.8,"Good"
7.7,0.835,0,2.6,0.081,14,0.9975,3.3,0.52,9.3,"Average"
8.3,0.58,0.13,2.9,0.096,63,0.9984,3.17,0.62,9.1,"Good"
8.8,0.48,0.41,3.3,0.092,52,0.9982,3.31,0.53,10.5,"Good"
6.3,0.36,0.19,3.2,0.075,39,0.9956,3.56,0.52,12.7,"Good"
8.8,0.24,0.54,2.5,0.083,57,0.9983,3.39,0.54,9.2,"Average"
7.5,0.64,0,2.4,0.077,29,0.9965,3.32,0.6,10,"Good"
9.6,0.6,0.5,2.3,0.079,71,0.9997,3.5,0.57,9.7,"Average"
11.3,0.37,0.41,2.3,0.088,16,0.9988,3.09,0.8,9.3,"Average"
8.3,0.54,0.24,3.4,0.076,112,0.9976,3.27,0.61,9.4,"Average"
8.2,0.56,0.23,3.4,0.078,104,0.9976,3.28,0.62,9.4,"Average"
10,0.58,0.22,1.9,0.08,32,0.9974,3.13,0.55,9.5,"Average"
8.8,0.6,0.29,2.2,0.098,15,0.9988,3.36,0.49,9.1,"Average"
8.8,0.6,0.29,2.2,0.098,15,0.9988,3.36,0.49,9.1,"Average"
8.7,0.54,0.26,2.5,0.097,31,0.9976,3.27,0.6,9.3,"Good"
7.6,0.685,0.23,2.3,0.111,84,0.9964,3.21,0.61,9.3,"Average"
8.7,0.54,0.26,2.5,0.097,31,0.9976,3.27,0.6,9.3,"Good"
10.4,0.28,0.54,2.7,0.105,19,0.9988,3.25,0.63,9.5,"Average"
7.6,0.41,0.14,3,0.087,43,0.9964,3.32,0.57,10.5,"Good"
7.9,0.35,0.21,1.9,0.073,102,0.9964,3.27,0.58,9.5,"Average"
8.7,0.84,0,1.4,0.065,33,0.9954,3.27,0.55,9.7,"Average"
9.9,0.54,0.45,2.3,0.071,40,0.9991,3.39,0.62,9.4,"Average"
9.9,0.54,0.45,2.3,0.071,40,0.9991,3.39,0.62,9.4,"Average"
9.9,0.54,0.45,2.3,0.071,40,0.9991,3.39,0.62,9.4,"Average"
8.3,0.845,0.01,2.2,0.07,14,0.9967,3.32,0.58,11,"Bad"
8.7,0.48,0.3,2.8,0.066,28,0.9964,3.33,0.67,11.2,"Good"
9.4,0.33,0.59,2.8,0.079,30,0.9976,3.12,0.54,12,"Good"
8.6,0.47,0.47,2.4,0.074,29,0.9979,3.08,0.46,9.5,"Average"
9.7,0.55,0.17,2.9,0.087,53,1.0004,3.14,0.61,9.4,"Average"
7.2,0.52,0.07,1.4,0.074,20,0.9973,3.32,0.81,9.6,"Good"
7.2,0.52,0.07,1.4,0.074,20,0.9973,3.32,0.81,9.6,"Good"
7.5,0.42,0.31,1.6,0.08,42,0.9978,3.31,0.64,9,"Average"
7.2,0.57,0.06,1.6,0.076,27,0.9972,3.36,0.7,9.6,"Good"
9.4,0.59,0.14,2,0.084,48,0.9981,3.14,0.56,9.7,"Average"
8.2,0.73,0.21,1.7,0.074,13,0.9968,3.2,0.52,9.5,"Average"
8.2,0.73,0.21,1.7,0.074,13,0.9968,3.2,0.52,9.5,"Average"
10.8,0.4,0.41,2.2,0.084,17,0.9984,3.08,0.67,9.3,"Good"
8.6,0.8,0.11,2.3,0.084,31,0.9979,3.4,0.48,9.9,"Average"
8.3,0.78,0.1,2.6,0.081,87,0.9983,3.48,0.53,10,"Average"
10.8,0.26,0.45,3.3,0.06,49,0.9972,3.13,0.54,9.6,"Average"
8,0.45,0.23,2.2,0.094,29,0.9962,3.21,0.49,10.2,"Good"
8.5,0.46,0.31,2.25,0.078,58,0.998,3.33,0.54,9.8,"Average"
8.1,0.78,0.23,2.6,0.059,15,0.997,3.37,0.56,11.3,"Average"
8.1,0.78,0.23,2.6,0.059,15,0.997,3.37,0.56,11.3,"Average"
9.2,0.92,0.24,2.6,0.087,93,0.9998,3.48,0.54,9.8,"Average"
7,0.65,0.02,2.1,0.066,25,0.9972,3.47,0.67,9.5,"Good"
9.4,0.615,0.28,3.2,0.087,72,1.0001,3.31,0.53,9.7,"Average"
11.8,0.38,0.55,2.1,0.071,19,0.9986,3.11,0.62,10.8,"Good"
7,0.65,0.02,2.1,0.066,25,0.9972,3.47,0.67,9.5,"Good"
7,0.64,0.02,2.1,0.067,23,0.997,3.47,0.67,9.4,"Good"
7.5,0.38,0.48,2.6,0.073,84,0.9972,3.32,0.7,9.6,"Bad"
9.1,0.765,0.04,1.6,0.078,14,0.998,3.29,0.54,9.7,"Bad"
